MS,MS Name,CCI,Ver,Title,Fund,Priority,TO_code,To short,TO long,Category of region,EAFRD Measure code,Measure short description,EAFRD Focus Area code,Focus area short description,EU Amount,National Amount,Total Amount,EU co-financing
DK,Denmark,2014DK06RDNP001,3.1,Denmark - National Rural Development,EAFRD,P4,5,Climate Change Adaptation & Risk Prevention,"Promoting climate change adaptation, risk prevention and management",VOID,M10,Agri-environment-climate,FA_P4,Priority 4,71402030,22710831,94112861,75.87%
DK,Denmark,2014DK06RDNP001,3.1,Denmark - National Rural Development,EAFRD,P4,5,Climate Change Adaptation & Risk Prevention,"Promoting climate change adaptation, risk prevention and management",VOID,M11,Organic Farming,FA_P4,Priority 4,80049070,26683023.33,106732093.33,75%
DK,Denmark,2014DK06RDNP001,3.1,Denmark - National Rural Development,EAFRD,P4,5,Climate Change Adaptation & Risk Prevention,"Promoting climate change adaptation, risk prevention and management",VOID,M13,Areas with natural constraints,FA_P4,Priority 4,5033.5,1677.83,6711.33,75%
DK,Denmark,2014DK06RDNP001,3.1,Denmark - National Rural Development,EAFRD,P4,5,Climate Change Adaptation & Risk Prevention,"Promoting climate change adaptation, risk prevention and management",VOID,M15,Forest-environment,FA_P4,Priority 4,1397618.5,465872.83,1863491.33,75%
DK,Denmark,2014DK06RDNP001,3.1,Denmark - National Rural Development,EAFRD,P4,6,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,VOID,M04,Physical Investment,FA_P4,Priority 4,129450106,26309066.48,155759172.48,83.11%
DK,Denmark,2014DK06RDNP001,3.1,Denmark - National Rural Development,EAFRD,P4,6,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,VOID,M07,Basic services,FA_P4,Priority 4,1839731.5,12617.28,1852348.78,99.32%
DK,Denmark,2014DK06RDNP001,3.1,Denmark - National Rural Development,EAFRD,P4,6,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,VOID,M08,Forest,FA_P4,Priority 4,17780968.5,3257996.33,21038964.83,84.51%
DK,Denmark,2014DK06RDNP001,3.1,Denmark - National Rural Development,EAFRD,P4,6,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,VOID,M10,Agri-environment-climate,FA_P4,Priority 4,71402030,22710831,94112861,75.87%
DK,Denmark,2014DK06RDNP001,3.1,Denmark - National Rural Development,EAFRD,P4,6,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,VOID,M11,Organic Farming,FA_P4,Priority 4,80049070,26683023.33,106732093.33,75%
DK,Denmark,2014DK06RDNP001,3.1,Denmark - National Rural Development,EAFRD,P4,6,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,VOID,M13,Areas with natural constraints,FA_P4,Priority 4,5033.5,1677.83,6711.33,75%
DK,Denmark,2014DK06RDNP001,3.1,Denmark - National Rural Development,EAFRD,P4,6,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,VOID,M15,Forest-environment,FA_P4,Priority 4,1397618.5,465872.83,1863491.33,75%
DK,Denmark,2014DK06RDNP001,3.1,Denmark - National Rural Development,EAFRD,P5,4,Low-Carbon Economy,Supporting the shift towards a low-carbon economy in all sectors,VOID,M04,Physical Investment,FA_5B,Energy efficiency,21118571,4330572.65,25449143.65,82.98%
DK,Denmark,2014DK06RDNP001,3.1,Denmark - National Rural Development,EAFRD,P5,4,Low-Carbon Economy,Supporting the shift towards a low-carbon economy in all sectors,VOID,M04,Physical Investment,FA_5C,Renewable energy,3399535,0,3399535,100%
DK,Denmark,2014DK06RDNP001,3.1,Denmark - National Rural Development,EAFRD,P5,4,Low-Carbon Economy,Supporting the shift towards a low-carbon economy in all sectors,VOID,M04,Physical Investment,FA_5D,Reducing GHG and NH3,67097464,15893372.29,82990836.29,80.85%
DK,Denmark,2014DK06RDNP001,3.1,Denmark - National Rural Development,EAFRD,P5,4,Low-Carbon Economy,Supporting the shift towards a low-carbon economy in all sectors,VOID,M07,Basic services,FA_5C,Renewable energy,8548295,7580563.49,16128858.49,53%
DK,Denmark,2014DK06RDNP001,3.1,Denmark - National Rural Development,EAFRD,P5,4,Low-Carbon Economy,Supporting the shift towards a low-carbon economy in all sectors,VOID,M10,Agri-environment-climate,FA_5D,Reducing GHG and NH3,2088958,696319.33,2785277.33,75%
DK,Denmark,2014DK06RDNP001,3.1,Denmark - National Rural Development,EAFRD,P6,9,Social Inclusion,"Promoting social inclusion, combating poverty and any discrimination",VOID,M19,LEADER and CLLD,FA_6B,Local development,63928762,13993309.79,77922071.79,82.04%
DK,Denmark,2014DK14MFOP001,1.1,Maritime and Fisheries - Denmark,EMFF,,3,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),VOID,VOID,VOID,VOID,VOID,64117944,18105711.72,82223655.72,77.98%
DK,Denmark,2014DK14MFOP001,1.1,Maritime and Fisheries - Denmark,EMFF,,6,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,VOID,VOID,VOID,VOID,VOID,128697083,36341656.3,165038739.3,77.98%
DK,Denmark,2014DK14MFOP001,1.1,Maritime and Fisheries - Denmark,EMFF,,8,Sustainable & Quality Employment,Promoting sustainable and quality employment and supporting labour mobility,VOID,VOID,VOID,VOID,VOID,7518393,2123053.98,9641446.98,77.98%
DK,Denmark,2014DK14MFOP001,1.1,Maritime and Fisheries - Denmark,EMFF,,TA,Technical Assistance,Technical Assistance,VOID,VOID,VOID,VOID,VOID,8022000,2674000,10696000,75%
DK,Denmark,2014DK16RFOP001,2,Innovation and Sustainable Growth in Businesses - ERDF,ERDF,1,1,Research & Innovation,"Strengthening research, technological development and innovation",More developed,VOID,VOID,VOID,VOID,68102435,68102435,136204870,50%
DK,Denmark,2014DK16RFOP001,2,Innovation and Sustainable Growth in Businesses - ERDF,ERDF,1,1,Research & Innovation,"Strengthening research, technological development and innovation",Transition,VOID,VOID,VOID,VOID,17385843,11590562,28976405,60%
DK,Denmark,2014DK16RFOP001,2,Innovation and Sustainable Growth in Businesses - ERDF,ERDF,2,3,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),More developed,VOID,VOID,VOID,VOID,54172391,54172392,108344783,50%
DK,Denmark,2014DK16RFOP001,2,Innovation and Sustainable Growth in Businesses - ERDF,ERDF,2,3,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),Transition,VOID,VOID,VOID,VOID,13829648,9219765,23049413,60%
DK,Denmark,2014DK16RFOP001,2,Innovation and Sustainable Growth in Businesses - ERDF,ERDF,3,4,Low-Carbon Economy,Supporting the shift towards a low-carbon economy in all sectors,More developed,VOID,VOID,VOID,VOID,26437800,26437800,52875600,50%
DK,Denmark,2014DK16RFOP001,2,Innovation and Sustainable Growth in Businesses - ERDF,ERDF,3,4,Low-Carbon Economy,Supporting the shift towards a low-carbon economy in all sectors,Transition,VOID,VOID,VOID,VOID,6749296,4499531,11248827,60%
DK,Denmark,2014DK16RFOP001,2,Innovation and Sustainable Growth in Businesses - ERDF,ERDF,4,1,Research & Innovation,"Strengthening research, technological development and innovation",More developed,VOID,VOID,VOID,VOID,1645962,1645962,3291924,50%
DK,Denmark,2014DK16RFOP001,2,Innovation and Sustainable Growth in Businesses - ERDF,ERDF,4,1,Research & Innovation,"Strengthening research, technological development and innovation",Transition,VOID,VOID,VOID,VOID,420197,280131,700328,60%
DK,Denmark,2014DK16RFOP001,2,Innovation and Sustainable Growth in Businesses - ERDF,ERDF,4,4,Low-Carbon Economy,Supporting the shift towards a low-carbon economy in all sectors,More developed,VOID,VOID,VOID,VOID,6583846,6583846,13167692,50%
DK,Denmark,2014DK16RFOP001,2,Innovation and Sustainable Growth in Businesses - ERDF,ERDF,4,4,Low-Carbon Economy,Supporting the shift towards a low-carbon economy in all sectors,Transition,VOID,VOID,VOID,VOID,1680787,1120525,2801312,60%
DK,Denmark,2014DK16RFOP001,2,Innovation and Sustainable Growth in Businesses - ERDF,ERDF,5,TA,Technical Assistance,Technical Assistance,More developed,VOID,VOID,VOID,VOID,7653721,7653721,15307442,50%
DK,Denmark,2014DK16RFOP001,2,Innovation and Sustainable Growth in Businesses - ERDF,ERDF,5,TA,Technical Assistance,Technical Assistance,Transition,VOID,VOID,VOID,VOID,1953915,1302610,3256525,60%
EE,Estonia,2014EE06RDNP001,1.4,Estonia - National Rural Development,EAFRD,,TA,Technical Assistance,Technical Assistance,VOID,M20,TA,FA_M20,M20 – Technical Assistance,28083108,4955842.59,33038950.59,85%
EE,Estonia,2014EE06RDNP001,1.4,Estonia - National Rural Development,EAFRD,P2,1,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M02,Advisory services,FA_2A,Farm performance,4325000,675000,5000000,86.5%
EE,Estonia,2014EE06RDNP001,1.4,Estonia - National Rural Development,EAFRD,P2,1,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M02,Advisory services,FA_2B,New farmers,340000,60000,400000,85%
EE,Estonia,2014EE06RDNP001,1.4,Estonia - National Rural Development,EAFRD,P2,1,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M16,Cooperation,FA_2A,Farm performance,10413000,1287000,11700000,89%
EE,Estonia,2014EE06RDNP001,1.4,Estonia - National Rural Development,EAFRD,P2,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",VOID,M01,Knowledge,FA_2A,Farm performance,1424000,176000,1600000,89%
EE,Estonia,2014EE06RDNP001,1.4,Estonia - National Rural Development,EAFRD,P2,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",VOID,M01,Knowledge,FA_2B,New farmers,623000,77000,700000,89%
EE,Estonia,2014EE06RDNP001,1.4,Estonia - National Rural Development,EAFRD,P2,3,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),VOID,M04,Physical Investment,FA_2A,Farm performance,180070000,31777058.82,211847058.82,85%
EE,Estonia,2014EE06RDNP001,1.4,Estonia - National Rural Development,EAFRD,P2,3,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),VOID,M06,Farm and business development,FA_2A,Farm performance,29925000,75000,30000000,99.75%
EE,Estonia,2014EE06RDNP001,1.4,Estonia - National Rural Development,EAFRD,P2,3,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),VOID,M06,Farm and business development,FA_2B,New farmers,18164000,3960000,22124000,82.1%
EE,Estonia,2014EE06RDNP001,1.4,Estonia - National Rural Development,EAFRD,P3,1,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M02,Advisory services,FA_3A,Competitiveness of producers,42500,7500,50000,85%
EE,Estonia,2014EE06RDNP001,1.4,Estonia - National Rural Development,EAFRD,P3,1,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M02,Advisory services,FA_3B,Risk management,85000,15000,100000,85%
EE,Estonia,2014EE06RDNP001,1.4,Estonia - National Rural Development,EAFRD,P3,1,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M16,Cooperation,FA_3A,Competitiveness of producers,3560000,440000,4000000,89%
EE,Estonia,2014EE06RDNP001,1.4,Estonia - National Rural Development,EAFRD,P3,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",VOID,M01,Knowledge,FA_3A,Competitiveness of producers,2848000,352000,3200000,89%
EE,Estonia,2014EE06RDNP001,1.4,Estonia - National Rural Development,EAFRD,P3,3,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),VOID,M03,Quality schemes,FA_3A,Competitiveness of producers,840000,148235.29,988235.29,85%
EE,Estonia,2014EE06RDNP001,1.4,Estonia - National Rural Development,EAFRD,P3,3,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),VOID,M04,Physical Investment,FA_3A,Competitiveness of producers,41920000,7397647.06,49317647.06,85%
EE,Estonia,2014EE06RDNP001,1.4,Estonia - National Rural Development,EAFRD,P3,3,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),VOID,M09,Producer groups / organisations,FA_3A,Competitiveness of producers,5340000,660000,6000000,89%
EE,Estonia,2014EE06RDNP001,1.4,Estonia - National Rural Development,EAFRD,P3,3,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),VOID,M14,Animal welfare,FA_3A,Competitiveness of producers,37438450,3236550,40675000,92.04%
EE,Estonia,2014EE06RDNP001,1.4,Estonia - National Rural Development,EAFRD,P4,1,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M02,Advisory services,FA_P4,Priority 4,569500,100500,670000,85%
EE,Estonia,2014EE06RDNP001,1.4,Estonia - National Rural Development,EAFRD,P4,1,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M16,Cooperation,FA_P4,Priority 4,1335000,165000,1500000,89%
EE,Estonia,2014EE06RDNP001,1.4,Estonia - National Rural Development,EAFRD,P4,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",VOID,M01,Knowledge,FA_P4,Priority 4,4094000,506000,4600000,89%
EE,Estonia,2014EE06RDNP001,1.4,Estonia - National Rural Development,EAFRD,P4,5,Climate Change Adaptation & Risk Prevention,"Promoting climate change adaptation, risk prevention and management",VOID,M04,Physical Investment,FA_P4,Priority 4,937500,312500,1250000,75%
EE,Estonia,2014EE06RDNP001,1.4,Estonia - National Rural Development,EAFRD,P4,5,Climate Change Adaptation & Risk Prevention,"Promoting climate change adaptation, risk prevention and management",VOID,M08,Forest,FA_P4,Priority 4,425000,75000,500000,85%
EE,Estonia,2014EE06RDNP001,1.4,Estonia - National Rural Development,EAFRD,P4,5,Climate Change Adaptation & Risk Prevention,"Promoting climate change adaptation, risk prevention and management",VOID,M10,Agri-environment-climate,FA_P4,Priority 4,97189250,25274250,122463500,79.36%
EE,Estonia,2014EE06RDNP001,1.4,Estonia - National Rural Development,EAFRD,P4,5,Climate Change Adaptation & Risk Prevention,"Promoting climate change adaptation, risk prevention and management",VOID,M11,Organic Farming,FA_P4,Priority 4,29700000,9150000,38850000,76.45%
EE,Estonia,2014EE06RDNP001,1.4,Estonia - National Rural Development,EAFRD,P4,5,Climate Change Adaptation & Risk Prevention,"Promoting climate change adaptation, risk prevention and management",VOID,M12,NAT 2000 & WFD,FA_P4,Priority 4,12249750,4083250,16333000,75%
EE,Estonia,2014EE06RDNP001,1.4,Estonia - National Rural Development,EAFRD,P4,6,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,VOID,M04,Physical Investment,FA_P4,Priority 4,937500,312500,1250000,75%
EE,Estonia,2014EE06RDNP001,1.4,Estonia - National Rural Development,EAFRD,P4,6,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,VOID,M08,Forest,FA_P4,Priority 4,425000,75000,500000,85%
EE,Estonia,2014EE06RDNP001,1.4,Estonia - National Rural Development,EAFRD,P4,6,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,VOID,M10,Agri-environment-climate,FA_P4,Priority 4,97189250,25274250,122463500,79.36%
EE,Estonia,2014EE06RDNP001,1.4,Estonia - National Rural Development,EAFRD,P4,6,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,VOID,M11,Organic Farming,FA_P4,Priority 4,29700000,9150000,38850000,76.45%
EE,Estonia,2014EE06RDNP001,1.4,Estonia - National Rural Development,EAFRD,P4,6,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,VOID,M12,NAT 2000 & WFD,FA_P4,Priority 4,12249750,4083250,16333000,75%
EE,Estonia,2014EE06RDNP001,1.4,Estonia - National Rural Development,EAFRD,P5,1,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M02,Advisory services,FA_5A,Water efficiency,212500,37500,250000,85%
EE,Estonia,2014EE06RDNP001,1.4,Estonia - National Rural Development,EAFRD,P5,1,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M02,Advisory services,FA_5B,Energy efficiency,85000,15000,100000,85%
EE,Estonia,2014EE06RDNP001,1.4,Estonia - National Rural Development,EAFRD,P5,1,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M02,Advisory services,FA_5C,Renewable energy,8500,1500,10000,85%
EE,Estonia,2014EE06RDNP001,1.4,Estonia - National Rural Development,EAFRD,P5,1,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M02,Advisory services,FA_5D,Reducing GHG and NH3,8500,1500,10000,85%
EE,Estonia,2014EE06RDNP001,1.4,Estonia - National Rural Development,EAFRD,P5,1,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M02,Advisory services,FA_5E,Carbon conservation / sequestration,8500,1500,10000,85%
EE,Estonia,2014EE06RDNP001,1.4,Estonia - National Rural Development,EAFRD,P5,1,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M16,Cooperation,FA_5C,Renewable energy,1335000,165000,1500000,89%
EE,Estonia,2014EE06RDNP001,1.4,Estonia - National Rural Development,EAFRD,P5,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",VOID,M01,Knowledge,FA_5B,Energy efficiency,623000,77000,700000,89%
EE,Estonia,2014EE06RDNP001,1.4,Estonia - National Rural Development,EAFRD,P5,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",VOID,M01,Knowledge,FA_5C,Renewable energy,534000,66000,600000,89%
EE,Estonia,2014EE06RDNP001,1.4,Estonia - National Rural Development,EAFRD,P5,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",VOID,M01,Knowledge,FA_5E,Carbon conservation / sequestration,534000,66000,600000,89%
EE,Estonia,2014EE06RDNP001,1.4,Estonia - National Rural Development,EAFRD,P5,4,Low-Carbon Economy,Supporting the shift towards a low-carbon economy in all sectors,VOID,M04,Physical Investment,FA_5B,Energy efficiency,6640000,1171764.71,7811764.71,85%
EE,Estonia,2014EE06RDNP001,1.4,Estonia - National Rural Development,EAFRD,P5,4,Low-Carbon Economy,Supporting the shift towards a low-carbon economy in all sectors,VOID,M06,Farm and business development,FA_5C,Renewable energy,2700000,476470.59,3176470.59,85%
EE,Estonia,2014EE06RDNP001,1.4,Estonia - National Rural Development,EAFRD,P5,4,Low-Carbon Economy,Supporting the shift towards a low-carbon economy in all sectors,VOID,M08,Forest,FA_5C,Renewable energy,7800000,1200000,9000000,86.67%
EE,Estonia,2014EE06RDNP001,1.4,Estonia - National Rural Development,EAFRD,P6,1,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M02,Advisory services,FA_6A,"Diversification, SMEs and job creation",1700000,300000,2000000,85%
EE,Estonia,2014EE06RDNP001,1.4,Estonia - National Rural Development,EAFRD,P6,8,Sustainable & Quality Employment,Promoting sustainable and quality employment and supporting labour mobility,VOID,M04,Physical Investment,FA_6A,"Diversification, SMEs and job creation",14250000,2514705.88,16764705.88,85%
EE,Estonia,2014EE06RDNP001,1.4,Estonia - National Rural Development,EAFRD,P6,8,Sustainable & Quality Employment,Promoting sustainable and quality employment and supporting labour mobility,VOID,M06,Farm and business development,FA_6A,"Diversification, SMEs and job creation",53460000,9434117.65,62894117.65,85%
EE,Estonia,2014EE06RDNP001,1.4,Estonia - National Rural Development,EAFRD,P6,9,Social Inclusion,"Promoting social inclusion, combating poverty and any discrimination",VOID,M19,LEADER and CLLD,FA_6B,Local development,81000000,9000000,90000000,90%
EE,Estonia,2014EE14MFOP001,1.1,Maritime and Fisheries - Estonia,EMFF,,3,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),VOID,VOID,VOID,VOID,VOID,40664076,11415882.7,52079958.7,78.08%
EE,Estonia,2014EE14MFOP001,1.1,Maritime and Fisheries - Estonia,EMFF,,4,Low-Carbon Economy,Supporting the shift towards a low-carbon economy in all sectors,VOID,VOID,VOID,VOID,VOID,5275000,1480884.04,6755884.04,78.08%
EE,Estonia,2014EE14MFOP001,1.1,Maritime and Fisheries - Estonia,EMFF,,6,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,VOID,VOID,VOID,VOID,VOID,24707255,6936223.63,31643478.63,78.08%
EE,Estonia,2014EE14MFOP001,1.1,Maritime and Fisheries - Estonia,EMFF,,8,Sustainable & Quality Employment,Promoting sustainable and quality employment and supporting labour mobility,VOID,VOID,VOID,VOID,VOID,24500000,6878039.63,31378039.63,78.08%
EE,Estonia,2014EE14MFOP001,1.1,Maritime and Fisheries - Estonia,EMFF,,TA,Technical Assistance,Technical Assistance,VOID,VOID,VOID,VOID,VOID,5824087,1941363,7765450,75%
EE,Estonia,2014EE16M3OP001,1.3,Cohesion Policy Funding - ERDF/ESF/CF,CF,10,7,Network Infrastructures in Transport and Energy,Promoting sustainable transport and removing bottlenecks in key network infrastructures,VOID,VOID,VOID,VOID,VOID,475904255,107876607,583780862,81.52%
EE,Estonia,2014EE16M3OP001,1.3,Cohesion Policy Funding - ERDF/ESF/CF,CF,14,TA,Technical Assistance,Technical Assistance,VOID,VOID,VOID,VOID,VOID,39749010,7014532,46763542,85%
EE,Estonia,2014EE16M3OP001,1.3,Cohesion Policy Funding - ERDF/ESF/CF,CF,6,4,Low-Carbon Economy,Supporting the shift towards a low-carbon economy in all sectors,VOID,VOID,VOID,VOID,VOID,247117021,360520095,607637116,40.67%
EE,Estonia,2014EE16M3OP001,1.3,Cohesion Policy Funding - ERDF/ESF/CF,CF,7,6,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,VOID,VOID,VOID,VOID,VOID,196808511,34730914,231539425,85%
EE,Estonia,2014EE16M3OP001,1.3,Cohesion Policy Funding - ERDF/ESF/CF,CF,8,5,Climate Change Adaptation & Risk Prevention,"Promoting climate change adaptation, risk prevention and management",VOID,VOID,VOID,VOID,VOID,56259043,9928066,66187109,85%
EE,Estonia,2014EE16M3OP001,1.3,Cohesion Policy Funding - ERDF/ESF/CF,CF,8,6,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,VOID,VOID,VOID,VOID,VOID,57484042,10144244,67628286,85%
EE,Estonia,2014EE16M3OP001,1.3,Cohesion Policy Funding - ERDF/ESF/CF,ERDF,1,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",Less developed,VOID,VOID,VOID,VOID,217897992,38452587,256350579,85%
EE,Estonia,2014EE16M3OP001,1.3,Cohesion Policy Funding - ERDF/ESF/CF,ERDF,11,2,Information & Communication Technologies,Enhancing access to and use and quality of information and communication technologies (ICT),Less developed,VOID,VOID,VOID,VOID,84574468,14924907,99499375,85%
EE,Estonia,2014EE16M3OP001,1.3,Cohesion Policy Funding - ERDF/ESF/CF,ERDF,12,11,Efficient Public Administration,Enhancing institutional capacity of public authorities and stakeholders and efficient public administration,Less developed,VOID,VOID,VOID,VOID,89132979,15729350,104862329,85%
EE,Estonia,2014EE16M3OP001,1.3,Cohesion Policy Funding - ERDF/ESF/CF,ERDF,13,TA,Technical Assistance,Technical Assistance,Less developed,VOID,VOID,VOID,VOID,69311805,12231495,81543300,85%
EE,Estonia,2014EE16M3OP001,1.3,Cohesion Policy Funding - ERDF/ESF/CF,ERDF,2,9,Social Inclusion,"Promoting social inclusion, combating poverty and any discrimination",Less developed,VOID,VOID,VOID,VOID,202331117,90886968,293218085,69%
EE,Estonia,2014EE16M3OP001,1.3,Cohesion Policy Funding - ERDF/ESF/CF,ERDF,4,1,Research & Innovation,"Strengthening research, technological development and innovation",Less developed,VOID,VOID,VOID,VOID,642313830,445315711,1087629541,59.06%
EE,Estonia,2014EE16M3OP001,1.3,Cohesion Policy Funding - ERDF/ESF/CF,ERDF,5,3,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),Less developed,VOID,VOID,VOID,VOID,301329787,58666099,359995886,83.7%
EE,Estonia,2014EE16M3OP001,1.3,Cohesion Policy Funding - ERDF/ESF/CF,ERDF,5,8,Sustainable & Quality Employment,Promoting sustainable and quality employment and supporting labour mobility,Less developed,VOID,VOID,VOID,VOID,166305585,29348044,195653629,85%
EE,Estonia,2014EE16M3OP001,1.3,Cohesion Policy Funding - ERDF/ESF/CF,ERDF,9,4,Low-Carbon Economy,Supporting the shift towards a low-carbon economy in all sectors,Less developed,VOID,VOID,VOID,VOID,48936170,8635795,57571965,85%
EE,Estonia,2014EE16M3OP001,1.3,Cohesion Policy Funding - ERDF/ESF/CF,ERDF,9,9,Social Inclusion,"Promoting social inclusion, combating poverty and any discrimination",Less developed,VOID,VOID,VOID,VOID,52127660,9198999,61326659,85%
EE,Estonia,2014EE16M3OP001,1.3,Cohesion Policy Funding - ERDF/ESF/CF,ESF,1,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",Less developed,VOID,VOID,VOID,VOID,194889771,34392313,229282084,85%
EE,Estonia,2014EE16M3OP001,1.3,Cohesion Policy Funding - ERDF/ESF/CF,ESF,12,11,Efficient Public Administration,Enhancing institutional capacity of public authorities and stakeholders and efficient public administration,Less developed,VOID,VOID,VOID,VOID,30211800,5331495,35543295,85%
EE,Estonia,2014EE16M3OP001,1.3,Cohesion Policy Funding - ERDF/ESF/CF,ESF,2,9,Social Inclusion,"Promoting social inclusion, combating poverty and any discrimination",Less developed,VOID,VOID,VOID,VOID,133753104,23603489,157356593,85%
EE,Estonia,2014EE16M3OP001,1.3,Cohesion Policy Funding - ERDF/ESF/CF,ESF,3,8,Sustainable & Quality Employment,Promoting sustainable and quality employment and supporting labour mobility,Less developed,VOID,VOID,VOID,VOID,228122335,40256883,268379218,85%
ES,Spain,2014ES05M9OP001,2.1,Youth Employment - ESF/YEI,ESF,1A,8,Sustainable & Quality Employment,Promoting sustainable and quality employment and supporting labour mobility,More developed,VOID,VOID,VOID,VOID,183421641,183421641,366843282,50%
ES,Spain,2014ES05M9OP001,2.1,Youth Employment - ESF/YEI,ESF,1B,8,Sustainable & Quality Employment,Promoting sustainable and quality employment and supporting labour mobility,More developed,VOID,VOID,VOID,VOID,74325950,18581488,92907438,80%
ES,Spain,2014ES05M9OP001,2.1,Youth Employment - ESF/YEI,ESF,1C,8,Sustainable & Quality Employment,Promoting sustainable and quality employment and supporting labour mobility,Transition,VOID,VOID,VOID,VOID,149843208,37460802,187304010,80%
ES,Spain,2014ES05M9OP001,2.1,Youth Employment - ESF/YEI,ESF,1D,8,Sustainable & Quality Employment,Promoting sustainable and quality employment and supporting labour mobility,Less developed,VOID,VOID,VOID,VOID,14446790,3611698,18058488,80%
ES,Spain,2014ES05M9OP001,2.1,Youth Employment - ESF/YEI,ESF,1E,8,Sustainable & Quality Employment,Promoting sustainable and quality employment and supporting labour mobility,Transition,VOID,VOID,VOID,VOID,28535849,5035739,33571588,85%
ES,Spain,2014ES05M9OP001,2.1,Youth Employment - ESF/YEI,ESF,8A,TA,Technical Assistance,Technical Assistance,More developed,VOID,VOID,VOID,VOID,8171521,8171521,16343042,50%
ES,Spain,2014ES05M9OP001,2.1,Youth Employment - ESF/YEI,ESF,8B,TA,Technical Assistance,Technical Assistance,More developed,VOID,VOID,VOID,VOID,5409558,1352390,6761948,80%
ES,Spain,2014ES05M9OP001,2.1,Youth Employment - ESF/YEI,ESF,8C,TA,Technical Assistance,Technical Assistance,Transition,VOID,VOID,VOID,VOID,6638684,1659671,8298355,80%
ES,Spain,2014ES05M9OP001,2.1,Youth Employment - ESF/YEI,ESF,8D,TA,Technical Assistance,Technical Assistance,Less developed,VOID,VOID,VOID,VOID,435466,108867,544333,80%
ES,Spain,2014ES05M9OP001,2.1,Youth Employment - ESF/YEI,ESF,8E,TA,Technical Assistance,Technical Assistance,Transition,VOID,VOID,VOID,VOID,2396520,422916,2819436,85%
